"team","CountPlayersUSA","CountPlayersInternational","TotalPlayers"
Thunder,2,4,6
Hawks,6,4,10
Rockets,2,4,6
Heat,8,0,8
Nuggets,4,2,6
Nets,8,0,8
Bulls,14,2,16
Suns,6,2,8
Cavaliers,2,0,2
Trail Blazers,6,2,8
Pacers,4,0,4
Timberwolves,2,0,2
Pelicans,4,0,4
Bucks,8,2,10
Lakers,12,0,12
Knicks,10,4,14
Wizards,2,0,2
Grizzlies,2,0,2
"76ers",6,4,10
Mavericks,4,4,8
Kings,4,2,6
Raptors,8,6,14
Pistons,2,2,4
Spurs,0,4,4
Hornets,4,2,6
Celtics,4,0,4
Warriors,2,2,4
Jazz,4,0,4
Magic,8,0,8
