"NAME","HomeAvgPPG","AwayAvgPPG","PPGDifference"
Alec Burks  ,9.600000,11.400000,-1.800000
Bismack Biyombo  ,4.800000,4.000000,0.800000
Bradley Beal  ,17.500000,18.900000,-1.400000
Giannis Antetokounmpo  ,28.200000,32.900000,-4.700000
Harrison Barnes  ,12.000000,12.400000,-0.400000
Jae Crowder  ,7.500000,5.200000,2.300000
Jimmy Butler  ,21.300000,20.200000,1.100000
Kentavious Caldwell-Pope  ,11.100000,9.100000,2.000000
Mike Conley  ,11.200000,11.700000,-0.500000
Nicolas Batum  ,5.200000,5.500000,-0.300000
Patrick Beverley  ,5.900000,6.400000,-0.500000
Reggie Bullock Jr.  ,2.300000,2.100000,0.200000
